Pressure, Temperature, X_ch4, X_c2h6, X_c3h8, ch4_uptake, c2h6_uptake, c3h8_uptake
0.1,340,0.1,0.2,0.7,0.0000000000,0.0000000000,0.0012000000
0.1,340,0.2,0.3,0.5,0.0000000000,0.0000600000,0.0008200000
0.1,340,0.2,0.5,0.3,0.0000000000,0.0000600000,0.0004200000
0.1,340,0.2,0.6,0.2,0.0000000000,0.0000600000,0.0003200000
0.1,340,0.2,0.4,0.4,0.0000000000,0.0001000000,0.0006800000
0.1,340,0.3,0.3,0.4,0.0000000000,0.0000200000,0.0007000000
0.1,340,0.3,0.2,0.5,0.0000000000,0.0000200000,0.0007600000
0.1,340,0.333,0.333,0.334,0.0000000000,0.0000600000,0.0006000000
0.1,340,0.3,0.4,0.3,0.0000000000,0.0000800000,0.0005200000
0.1,340,0.4,0.1,0.5,0.0000000000,0.0000000000,0.0009800000
0.1,340,0.4,0.2,0.4,0.0000000000,0.0000200000,0.0007200000
0.1,340,0.4,0.3,0.3,0.0000000000,0.0000400000,0.0004400000
0.1,340,0.5,0.4,0.1,0.0000000000,0.0000200000,0.0001400000
0.1,340,0.5,0.1,0.4,0.0000000000,0.0000000000,0.0007600000
0.1,340,0.6,0.1,0.3,0.0000000000,0.0000000000,0.0005400000
0.1,360,0.1,0.6,0.3,0.0000000000,0.0000600000,0.0001000000
0.1,360,0.1,0.2,0.7,0.0000000000,0.0000000000,0.0004600000
0.1,360,0.2,0.3,0.5,0.0000000000,0.0000400000,0.0002400000
0.1,360,0.2,0.5,0.3,0.0000000000,0.0000800000,0.0001400000
0.1,360,0.2,0.6,0.2,0.0000000000,0.0000600000,0.0000800000
0.1,360,0.2,0.4,0.4,0.0000000000,0.0000600000,0.0002000000
0.1,360,0.3,0.3,0.4,0.0000000000,0.0000400000,0.0002000000
0.1,360,0.3,0.2,0.5,0.0000000000,0.0000000000,0.0002400000
0.1,360,0.333,0.333,0.334,0.0000000000,0.0000400000,0.0001200000
0.1,360,0.3,0.4,0.3,0.0000000000,0.0000600000,0.0001400000
0.1,360,0.4,0.1,0.5,0.0000000000,0.0000000000,0.0002400000
0.1,360,0.4,0.2,0.4,0.0000000000,0.0000000000,0.0002200000
0.1,360,0.4,0.3,0.3,0.0000000000,0.0000400000,0.0001800000
0.1,360,0.5,0.4,0.1,0.0000000000,0.0000800000,0.0000400000
0.1,360,0.5,0.1,0.4,0.0000200000,0.0000000000,0.0002000000
0.1,360,0.6,0.1,0.3,0.0000000000,0.0000000000,0.0002000000
0.1,380,0.1,0.6,0.3,0.0000000000,0.0000400000,0.0000800000
0.1,380,0.1,0.2,0.7,0.0000000000,0.0000200000,0.0002000000
0.1,380,0.2,0.3,0.5,0.0000000000,0.0000200000,0.0001200000
0.1,380,0.2,0.5,0.3,0.0000000000,0.0000200000,0.0000800000
0.1,380,0.2,0.6,0.2,0.0000000000,0.0000400000,0.0000800000
0.1,380,0.2,0.4,0.4,0.0000000000,0.0000200000,0.0000800000
0.1,380,0.3,0.3,0.4,0.0000000000,0.0000200000,0.0001000000
0.1,380,0.3,0.2,0.5,0.0000000000,0.0000200000,0.0001400000
0.1,380,0.333,0.333,0.334,0.0000000000,0.0000200000,0.0000800000
0.1,380,0.3,0.4,0.3,0.0000000000,0.0000200000,0.0000800000
0.1,380,0.4,0.1,0.5,0.0000000000,0.0000200000,0.0001600000
0.1,380,0.4,0.2,0.4,0.0000000000,0.0000200000,0.0001000000
0.1,380,0.4,0.3,0.3,0.0000000000,0.0000200000,0.0000800000
0.1,380,0.5,0.4,0.1,0.0000000000,0.0000200000,0.0000400000
0.1,380,0.5,0.1,0.4,0.0000000000,0.0000200000,0.0001200000
0.1,380,0.6,0.1,0.3,0.0000000000,0.0000200000,0.0001400000
0.1,400,0.1,0.6,0.3,0.0000000000,0.0000600000,0.0000200000
0.1,400,0.1,0.2,0.7,0.0000000000,0.0000000000,0.0000400000
0.1,400,0.2,0.3,0.5,0.0000000000,0.0000000000,0.0000400000
0.1,400,0.2,0.5,0.3,0.0000000000,0.0000600000,0.0000200000
0.1,400,0.2,0.6,0.2,0.0000000000,0.0000600000,0.0000200000
0.1,400,0.2,0.4,0.4,0.0000000000,0.0000400000,0.0000200000
0.1,400,0.3,0.3,0.4,0.0000000000,0.0000000000,0.0000200000
0.1,400,0.3,0.2,0.5,0.0000000000,0.0000000000,0.0000400000
0.1,400,0.333,0.333,0.334,0.0000000000,0.0000200000,0.0000200000
0.1,400,0.3,0.4,0.3,0.0000000000,0.0000600000,0.0000200000
0.1,400,0.4,0.1,0.5,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.4,0.2,0.4,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.4,0.3,0.3,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.5,0.4,0.1,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.5,0.1,0.4,0.0000000000,0.0000000000,0.0000000000
0.1,400,0.6,0.1,0.3,0.0000000000,0.0000000000,0.0000000000
0.3,200,0.1,0.6,0.3,0.0000000000,0.0688000000,7.8250000000
0.3,200,0.1,0.2,0.7,0.0000200000,0.0110800000,8.0277800000
0.3,200,0.2,0.3,0.5,0.0000000000,0.0193200000,7.9683200000
0.3,200,0.2,0.5,0.3,0.0000600000,0.0571400000,7.8524400000
0.3,200,0.2,0.6,0.2,0.0000400000,0.1041000000,7.7559000000
0.3,200,0.2,0.4,0.4,0.0000400000,0.0352800000,7.9266200000
0.3,200,0.3,0.3,0.4,0.0000800000,0.0244200000,7.9354200000
0.3,200,0.3,0.2,0.5,0.0001000000,0.0150600000,7.9502200000
0.3,200,0.333,0.333,0.334,0.0000800000,0.0334400000,7.8966400000
0.3,200,0.3,0.4,0.3,0.0000600000,0.0489000000,7.8683000000
0.3,200,0.4,0.1,0.5,0.0001400000,0.0074600000,7.9780600000
0.3,200,0.4,0.2,0.4,0.0001000000,0.0171400000,7.9612000000
0.3,200,0.4,0.3,0.3,0.0001400000,0.0345600000,7.8627600000
0.3,200,0.5,0.4,0.1,0.0001400000,0.1244400000,7.5428200000
0.3,200,0.5,0.1,0.4,0.0001600000,0.0088000000,7.9335200000
0.3,200,0.6,0.1,0.3,0.0001200000,0.0113200000,7.9098800000
0.3,220,0.1,0.6,0.3,0.0000400000,0.1033600000,6.2250400000
0.3,220,0.1,0.2,0.7,0.0000000000,0.0181400000,7.1765600000
0.3,220,0.2,0.3,0.5,0.0000600000,0.0350000000,6.8937800000
0.3,220,0.2,0.5,0.3,0.0000200000,0.0896400000,6.2371800000
0.3,220,0.2,0.6,0.2,0.0000800000,0.1414000000,5.5567000000
0.3,220,0.2,0.4,0.4,0.0000400000,0.0582000000,6.6932600000
0.3,220,0.3,0.3,0.4,0.0000400000,0.0407200000,6.6789200000
0.3,220,0.3,0.2,0.5,0.0001000000,0.0241800000,6.8203200000
0.3,220,0.333,0.333,0.334,0.0000800000,0.0553800000,6.4144400000
0.3,220,0.3,0.4,0.3,0.0000600000,0.0714200000,6.3160200000
0.3,220,0.4,0.1,0.5,0.0001000000,0.0118600000,6.8746800000
0.3,220,0.4,0.2,0.4,0.0001200000,0.0266600000,6.6741400000
0.3,220,0.4,0.3,0.3,0.0000600000,0.0543000000,6.3213600000
0.3,220,0.5,0.4,0.1,0.0001000000,0.1491000000,4.3925600000
0.3,220,0.5,0.1,0.4,0.0001400000,0.0128800000,6.7728800000
0.3,220,0.6,0.1,0.3,0.0001600000,0.0180000000,6.3597400000
0.3,240,0.1,0.6,0.3,0.0000000000,0.0623600000,2.2130200000
0.3,240,0.1,0.2,0.7,0.0000200000,0.0157800000,3.6947800000
0.3,240,0.2,0.3,0.5,0.0000200000,0.0276400000,3.0821800000
0.3,240,0.2,0.5,0.3,0.0000600000,0.0547000000,2.1455600000
0.3,240,0.2,0.6,0.2,0.0000400000,0.0704000000,1.6208200000
0.3,240,0.2,0.4,0.4,0.0000200000,0.0390800000,2.6777800000
0.3,240,0.3,0.3,0.4,0.0001200000,0.0308200000,2.6308400000
0.3,240,0.3,0.2,0.5,0.0000400000,0.0187000000,3.0631200000
0.3,240,0.333,0.333,0.334,0.0000600000,0.0340200000,2.3415600000
0.3,240,0.3,0.4,0.3,0.0001000000,0.0412400000,2.1704800000
0.3,240,0.4,0.1,0.5,0.0000600000,0.0092200000,3.0713400000
0.3,240,0.4,0.2,0.4,0.0000800000,0.0196200000,2.6295400000
0.3,240,0.4,0.3,0.3,0.0000800000,0.0313200000,2.1720200000
0.3,240,0.5,0.4,0.1,0.0000800000,0.0523200000,0.8601600000
0.3,240,0.5,0.1,0.4,0.0002200000,0.0095400000,2.7023200000
0.3,240,0.6,0.1,0.3,0.0002000000,0.0107000000,2.1553600000
0.3,260,0.1,0.6,0.3,0.0000000000,0.0192600000,0.3867000000
0.3,260,0.1,0.2,0.7,0.0000200000,0.0065800000,0.8842000000
0.3,260,0.2,0.3,0.5,0.0000400000,0.0090000000,0.6390800000
0.3,260,0.2,0.5,0.3,0.0000000000,0.0141600000,0.4008400000
0.3,260,0.2,0.6,0.2,0.0000600000,0.0199400000,0.2707400000
0.3,260,0.2,0.4,0.4,0.0000200000,0.0125400000,0.5099400000
0.3,260,0.3,0.3,0.4,0.0000400000,0.0093800000,0.5144000000
0.3,260,0.3,0.2,0.5,0.0000800000,0.0055800000,0.6355200000
0.3,260,0.333,0.333,0.334,0.0000600000,0.0103200000,0.4483200000
0.3,260,0.3,0.4,0.3,0.0000600000,0.0121200000,0.3960800000
0.3,260,0.4,0.1,0.5,0.0000000000,0.0034000000,0.6242400000
0.3,260,0.4,0.2,0.4,0.0000400000,0.0065400000,0.5252000000
0.3,260,0.4,0.3,0.3,0.0000800000,0.0093800000,0.3972800000
0.3,260,0.5,0.4,0.1,0.0000600000,0.0127800000,0.1304400000
0.3,260,0.5,0.1,0.4,0.0000000000,0.0027200000,0.5049600000
0.3,260,0.6,0.1,0.3,0.0000400000,0.0027000000,0.4065800000
0.3,280,0.1,0.6,0.3,0.0000200000,0.0057200000,0.0758400000
0.3,280,0.1,0.2,0.7,0.0000000000,0.0017600000,0.1727600000
0.3,280,0.2,0.3,0.5,0.0000000000,0.0028200000,0.1245800000
0.3,280,0.2,0.5,0.3,0.0000000000,0.0043000000,0.0721400000
0.3,280,0.2,0.6,0.2,0.0000000000,0.0054000000,0.0499400000
0.3,280,0.2,0.4,0.4,0.0000000000,0.0037000000,0.1002600000
0.3,280,0.3,0.3,0.4,0.0000000000,0.0026600000,0.1004600000
0.3,280,0.3,0.2,0.5,0.0000400000,0.0020600000,0.1246800000
0.3,280,0.333,0.333,0.334,0.0000600000,0.0036600000,0.0853600000
0.3,280,0.3,0.4,0.3,0.0000200000,0.0035000000,0.0757800000
0.3,280,0.4,0.1,0.5,0.0000400000,0.0009400000,0.1208000000
