X1,X2,X3,X4,X5, X_c4h10, ch4_uptake, c2h6_uptake, c3h8_uptake, c4h10_uptake,y
10,380,0.4,0.1,0.15,0.35,0.00008,0.0005,0.00428,0.00236,0.004965713
10,380,0.4,0.1,0.3,0.2,0.00004,0.0004,0.00842,0.00108,0.002669039
10,400,0.1,0.2,0.3,0.4,0.00002,0.00052,0.004,0.00152,0.010135135
10,400,0.1,0.1,0.2,0.6,0,0.00024,0.00268,0.0021,0
10,400,0.15,0.35,0.2,0.3,0.00002,0.0011,0.00248,0.00094,0.007139215
10,400,0.15,0.3,0.35,0.2,0,0.00088,0.0046,0.0008,0
10,400,0.2,0.1,0.3,0.4,0.00002,0.0002,0.00434,0.00132,0.005059022
10,400,0.22,0.28,0.25,0.25,0.00002,0.00086,0.0036,0.00076,0.004432119
10,400,0.2,0.4,0.1,0.3,0,0.00088,0.00138,0.00128,0
10,400,0.25,0.25,0.25,0.25,0.00008,0.00066,0.00342,0.00104,0.015625
10,400,0.25,0.2,0.25,0.3,0.00002,0.00042,0.00388,0.00114,0.003734827
10,400,0.28,0.22,0.3,0.2,0.00008,0.00074,0.0039,0.00078,0.014099853
10,400,0.3,0.2,0.1,0.4,0,0.00048,0.00158,0.0014,0
10,400,0.3,0.3,0.2,0.2,0.00002,0.00098,0.00226,0.00076,0.003629764
10,400,0.33,0.33,0.2,0.14,0.0001,0.00086,0.00284,0.00072,0.013806161
10,400,0.33,0.17,0.3,0.2,0.00002,0.0003,0.00424,0.00048,0.003312161
10,400,0.4,0.1,0.15,0.35,0.0001,0.00008,0.00172,0.00112,0.016163793
10,400,0.4,0.1,0.3,0.2,0.00004,0.00018,0.00398,0.0007,0.005385996
10000000,200,0.1,0.2,0.3,0.4,6.8785,18.3461,62.16062,14.60552,0.205055135
10000000,200,0.1,0.1,0.2,0.6,5.57946,9.49008,53.17274,28.34306,0.136750487
10000000,200,0.15,0.35,0.2,0.3,11.77842,36.9009,48.36952,12.53292,0.201829487
10000000,200,0.15,0.3,0.35,0.2,9.42218,25.1778,65.60788,6.41046,0.207015326
